[23:34:54] [INFO] received Windows console close event; shutting log-core down
[23:34:58] [INFO] received Windows console close event; shutting log-core down
[02:51:03] [INFO] received Windows console close event; shutting log-core down
[14:20:10] [INFO] received Windows console close event; shutting log-core down
[14:20:28] [INFO] received Windows console close event; shutting log-core down
[14:55:05] [INFO] received Windows console close event; shutting log-core down
[15:10:00] [INFO] received Windows console close event; shutting log-core down
[15:15:00] [INFO] received Windows console close event; shutting log-core down
[15:17:19] [INFO] received Windows console close event; shutting log-core down
[21:16:57] [INFO] received Windows console close event; shutting log-core down
[21:28:28] [INFO] received Windows console close event; shutting log-core down
[21:31:41] [INFO] received Windows console close event; shutting log-core down
[21:33:56] [INFO] received Windows console close event; shutting log-core down
[21:36:09] [INFO] received Windows console close event; shutting log-core down
[21:40:09] [INFO] received Windows console close event; shutting log-core down
[21:45:17] [INFO] received Windows console close event; shutting log-core down
[22:10:24] [INFO] received Windows console close event; shutting log-core down
[22:15:25] [INFO] received Windows console close event; shutting log-core down
[22:16:22] [INFO] received Windows console close event; shutting log-core down
[22:29:09] [INFO] received Windows console close event; shutting log-core down
[00:06:01] [INFO] received Windows console close event; shutting log-core down
[03:06:35] [INFO] received Windows console close event; shutting log-core down
[03:09:02] [INFO] received Windows console close event; shutting log-core down
[03:10:29] [INFO] received Windows console close event; shutting log-core down
[03:10:38] [INFO] received Windows console close event; shutting log-core down
[03:15:47] [INFO] received Windows console close event; shutting log-core down
[03:15:49] [INFO] received Windows console close event; shutting log-core down
[03:16:18] [INFO] received Windows console close event; shutting log-core down
[03:17:38] [INFO] received Windows console close event; shutting log-core down
[03:24:16] [INFO] received Windows console close event; shutting log-core down
[03:28:43] [INFO] received Windows console close event; shutting log-core down
[03:31:30] [INFO] received Windows console close event; shutting log-core down
[03:34:57] [INFO] received Windows console close event; shutting log-core down
[03:35:05] [INFO] received Windows console close event; shutting log-core down
[03:35:18] [INFO] received Windows console close event; shutting log-core down
[03:35:21] [INFO] received Windows console close event; shutting log-core down
[03:35:24] [INFO] received Windows console close event; shutting log-core down
[03:37:17] [INFO] received Windows console close event; shutting log-core down
[03:37:19] [INFO] received Windows console close event; shutting log-core down
[03:37:27] [INFO] received Windows console close event; shutting log-core down
[03:39:14] [INFO] received Windows console close event; shutting log-core down
[03:42:31] [INFO] received Windows console close event; shutting log-core down
[03:42:55] [INFO] received Windows console close event; shutting log-core down
[03:49:42] [INFO] received Windows console close event; shutting log-core down
[03:49:44] [INFO] received Windows console close event; shutting log-core down
[03:50:50] [INFO] received Windows console close event; shutting log-core down
[03:51:12] [INFO] received Windows console close event; shutting log-core down
[03:51:58] [INFO] received Windows console close event; shutting log-core down
[03:52:08] [INFO] received Windows console close event; shutting log-core down
[03:52:30] [INFO] received Windows console close event; shutting log-core down
[03:52:31] [INFO] received Windows console close event; shutting log-core down
[03:52:33] [INFO] received Windows console close event; shutting log-core down
[03:53:17] [INFO] received Windows console close event; shutting log-core down
[03:55:43] [INFO] received Windows console close event; shutting log-core down
